Player,Role,Amount,Team,Year,Player Origin
Aaron Finch,Batter,40000000,SRH,2014,Overseas
Aaron Finch,Batter,32000000,MI,2015,Overseas
Aaron Finch,Batter,10000000,GL,2016,Overseas
Aaron Finch,Batter,62000000,PBKS,2018,Overseas
Aaron Finch,Batter,44000000,RCB,2020,Overseas
Abdul Samad,All-Rounder,2000000,SRH,2020,Indian
Abhijeet Tomar,Batter,4000000,KKR,2022,Indian
Abhimanyu Mithun,Bowler,3000000,MI,2015,Indian
Abhimanyu Mithun,Bowler,3000000,SRH,2016,Indian
Abhinav Sadarangani,Batter,26000000,GT,2022,Indian
Abhishek Nayar,All-Rounder,50625000,PWI,2013,Indian
Abhishek Nayar,All-Rounder,10000000,RR,2014,Indian
Abhishek Sharma,All-Rounder,5500000,DC,2018,Indian
Abhishek Sharma,All-Rounder,65000000,SRH,2022,Indian
Abu Nechim Ahmed,Bowler,3000000,RCB,2014,Indian
Adam Milne,Bowler,7000000,RCB,2015,Overseas
Adam Milne,Bowler,32000000,MI,2021,Overseas
Adam Milne,Bowler,19000000,CSK,2022,Overseas
Adam Zampa,Bowler,3000000,RPSG,2016,Overseas
Aditya Garhwal,All-Rounder,2500000,KKR,2015,Indian
Aditya Tare,Batter,16000000,MI,2014,Indian
Aditya Tare,Batter,12000000,SRH,2016,Indian
Aditya Tare,Batter,2500000,DC,2017,Indian
Aditya Tare,Batter,2000000,MI,2018,Indian
Agnivesh Ayachi,All-Rounder,2000000,PBKS,2019,Indian
Aiden Blizzard,Batter,3000000,MI,2015,Overseas
Aiden Markram,Batter,26000000,SRH,2022,Overseas
Ajantha Mendis,Bowler,54375000,PWI,2013,Overseas
Ajinkya Rahane,Batter,40000000,RR,2018,Indian
Ajinkya Rahane,Batter,10000000,KKR,2022,Indian
Akash Deep,Bowler,2000000,RCB,2022,Indian
Akash Singh,Bowler,2000000,RR,2020,Indian
Akash Singh,Bowler,2000000,RR,2021,Indian
Akhil Arvind Herwadkar,All-Rounder,1000000,DC,2016,Indian
Akila Dananjaya,All-Rounder,1500000,CSK,2013,Overseas
Akila Dhananjaya,Bowler,5000000,MI,2018,Overseas
Akshar Rajesh Patel,All-Rounder,7500000,PBKS,2014,Indian
Akshay Karnewar,All-Rounder,1000000,RCB,2016,Indian
Akshay Wakhare,Bowler,1000000,MI,2015,Indian
Akshdeep Nath,All-Rounder,1000000,GL,2016,Indian
Akshdeep Nath,All-Rounder,1000000,GL,2017,Indian
Akshdeep Nath,All-Rounder,10000000,PBKS,2018,Indian
Akshdeep Nath,All-Rounder,36000000,RCB,2019,Indian
Albie Morkel,All-Rounder,24000000,RCB,2014,Overseas
Albie Morkel,All-Rounder,3000000,DC,2015,Overseas
Alex Carey,Batter,24000000,DC,2020,Overseas
Alex Hales,Batter,15000000,KKR,2022,Overseas
Alzarri Joseph,Bowler,24000000,GT,2022,Overseas
Aman Khan,All-Rounder,2000000,KKR,2022,Indian
Ambati Rayudu,Batter,22000000,CSK,2018,Indian
Ambati Rayudu,Batter,67500000,CSK,2022,Indian
Amit Mishra,Bowler,1000000,RR,2014,Indian
Amit Mishra,Bowler,47500000,SRH,2014,Indian
Amit Mishra,Bowler,35000000,DC,2015,Indian
Amit Mishra,Bowler,1000000,GL,2016,Indian
Amit Mishra,Bowler,40000000,DC,2018,Indian
Amit Paunikar,Batter,2000000,SRH,2014,Indian
Andre Russell,All-Rounder,6000000,KKR,2014,Overseas
Andrew Tye,Bowler,2000000,CSK,2015,Overseas
Andrew Tye,All-Rounder,5000000,GL,2016,Overseas
