Player,Player Origin,Role,Team
Ajay Mandal,Indian,All-Rounder,CSK
Ajinkya Rahane,Indian,Batter,CSK
Deepak Chahar,Indian,All-Rounder,CSK
Devon Conway,Overseas,Batter,CSK
Maheesh Theekshana,Overseas,Bowler,CSK
Matheesha Pathirana,Overseas,Bowler,CSK
Mitchell Santner,Overseas,All-Rounder,CSK
Moeen Ali,Overseas,All-Rounder,CSK
MS Dhoni,Indian,Batter,CSK
Mukesh Choudhary,Indian,Bowler,CSK
Nishant Sindhu,Indian,All-Rounder,CSK
Prashant Solanki,Indian,Bowler,CSK
Rajvardhan Hangargekar,Indian,All-Rounder,CSK
Ravindra Jadeja,Indian,All-Rounder,CSK
Ruturaj Gaikwad,Indian,Batter,CSK
Shaik Rasheed,Indian,Batter,CSK
Shivam Dube,Indian,All-Rounder,CSK
Simarjeet Singh,Indian,Bowler,CSK
Tushar Deshpande,Indian,Bowler,CSK
Abhishek Porel,Indian,Batter,DC
Anrich Nortje,Overseas,Bowler,DC
Axar Patel,Indian,All-Rounder,DC
David Warner,Overseas,Batter,DC
Ishant Sharma,Indian,Bowler,DC
Kuldeep Yadav,Indian,Bowler,DC
Lalit Yadav,Indian,All-Rounder,DC
Lungisani Ngidi,Overseas,Bowler,DC
Mitchell Marsh,Overseas,All-Rounder,DC
Mukesh Kumar,Indian,Bowler,DC
Pravin Dubey,Indian,All-Rounder,DC
Prithvi Shaw,Indian,Batter,DC
Rishabh Pant,Indian,Batter,DC
Syed Khaleel Ahmed,Indian,Bowler,DC
Vicky Ostwal,Indian,Bowler,DC
Yash Dhull,Indian,Batter,DC
Abhinav Manohar,Indian,Batter,GT
Sai Sudharsan,Indian,Batter,GT
Darshan Nalkande,Indian,Bowler,GT
David Miller,Overseas,Batter,GT
Jayant Yadav,Indian,Bowler,GT
Joshua Little,Overseas,Bowler,GT
Kane Williamson,Overseas,Batter,GT
Matthew Wade,Overseas,Batter,GT
Mohammed Shami,Indian,Bowler,GT
Mohit Sharma,Indian,Bowler,GT
Noor Ahmad,Overseas,Bowler,GT
R Sai Kishore,Indian,Bowler,GT
Rahul Tewatia,Indian,All-Rounder,GT
Rashid Khan,Overseas,All-Rounder,GT
Shubman Gill,Indian,Batter,GT
Vijay Shankar,Indian,All-Rounder,GT
Wriddhiman Saha,Indian,Batter,GT
Nitish Rana,Indian,Batter,KKR
Rinku Singh,Indian,Batter,KKR
Rahmanullah Gurbaz,Overseas,Batter,KKR
