Dushmantha Chameera,109,50,23,197,24*,7.29,208,94.71,0,0,15,7,24,0,109,108,2300,3079,105,4/17,4/17,29.32,8.03,21.9,3,0,0
Laxmi Ratan Shukla
Manvinder Bisla,65,64,3,1324,92,21.70,1196,110.70,0,6,143,35,40,15,65,0,0,0,0,0,0,0,0,0,0,0,0
Yogesh Gowalkar
Bhuvneshwar Kumar,270,94,51,447,27,10.39,481,92.93,0,0,32,7,55,0,270,269,5864,7019,288,5/4,5/4,24.37,7.18,20.3,5,5,0
Anirudha Ashok Joshi
Anukul Roy,47,38,12,517,47*,19.88,351,147.29,0,0,39,23,26,0,47,46,869,1019,29,3/11,3/11,35.13,7.03,29.9,0,0,0
Anunay Singh,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,43,58,1,1/32,1/32,58.00,8.09,43.0,0,0,0
Shivam Mavi,52,19,5,85,26,6.07,90,94.44,0,0,6,4,22,0,52,52,1014,1405,53,4/14,4/14,26.50,8.31,19.1,3,0,0
Sayan Ghosh,34,5,3,29,8*,14.50,25,115.99,0,0,5,0,11,0,34,34,718,915,47,5/15,5/15,19.46,7.64,15.2,1,1,0
Kuldeep Sen,36,6,4,2,1*,1.00,13,15.38,0,0,0,0,5,0,36,35,669,982,26,4/20,4/20,37.76,8.80,25.7,1,0,0
Wayne Parnell,280,168,62,1944,99,18.33,1575,123.42,0,5,159,70,61,0,280,274,5591,7463,291,5/30,5/30,25.64,8.00,19.2,5,1,0
Baltej Dhanda
Thisara Perera,364,301,85,4549,97*,21.06,3014,150.92,0,12,329,253,154,0,364,306,5166,7405,276,5/26,5/26,26.82,8.60,18.7,1,2,0
Rishabh Pant,179,168,29,4354,128*,31.32,3006,144.84,2,22,399,196,107,29,179,0,0,0,0,0,0,0,0,0,0,0,0
Piyush Chawla,284,155,53,1550,45*,15.19,1252,123.80,0,0,134,58,71,0,284,283,5952,7424,302,4/17,4/17,24.58,7.48,19.7,3,0,0
Rovman Powell,183,166,34,3330,107,25.22,2394,139.09,1,14,191,230,92,0,183,50,617,1096,26,2/21,2/21,42.15,10.65,23.7,0,0,0
Manjot Kalra,2,2,0,13,13,6.50,14,92.85,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Pardeep Sahu,15,11,4,134,27,19.14,118,113.55,0,0,9,4,4,0,15,7,129,165,4,2/18,2/18,41.25,7.67,32.2,0,0,0
Gautam Gambhir,251,245,24,6402,93,28.96,5309,120.58,0,53,747,90,51,0,251,0,0,0,0,0,0,0,0,0,0,0,0
Prashant Solanki,11,0,0,0,0,0,0,0,0,0,0,0,1,0,11,11,234,310,10,2/8,2/8,31.00,7.94,23.4,0,0,0
Ajantha Mendis,129,49,17,214,27*,6.68,246,86.99,0,0,16,7,29,0,129,128,2767,3230,170,6/8,6/8,19.00,7.00,16.2,5,2,0
Mithun Manhas,91,72,18,1170,52,21.66,1119,104.55,0,1,102,21,28,0,91,9,110,148,5,3/33,3/33,29.60,8.07,22.0,0,0,0
Shreevats Goswami,111,101,10,2437,86*,26.78,2109,115.55,0,13,270,40,52,10,111,0,0,0,0,0,0,0,0,0,0,0,0
Glenn Phillips,218,206,27,5777,116*,32.27,4073,141.83,5,39,443,308,116,10,218,35,389,523,17,2/11,2/11,30.76,8.06,22.8,0,0,0
Unmukt Chand,84,81,5,1637,125,21.53,1425,114.87,3,5,146,69,50,3,84,0,0,0,0,0,0,0,0,0,0,0,0
Mitchell Starc,121,41,20,206,29,9.80,217,94.93,0,0,15,2,37,0,121,120,2673,3322,170,4/15,4/15,19.54,7.45,15.7,2,0,0
Yuzvendra Singh Chahal
Rajvardhan Hangargekar,14,5,2,26,11,8.66,21,123.80,0,0,1,2,3,0,14,13,240,366,10,3/36,3/36,36.60,9.15,24.0,0,0,0
Shubam Agrawal
Zaheer Khan,138,49,27,191,26,8.68,221,86.42,0,0,17,3,30,0,138,137,3044,3802,139,4/17,4/17,27.35,7.49,21.8,2,0,0
Joshua Philippe
Juan Theron
Maheesh Theekshana,124,37,18,108,15,5.68,148,72.97,0,0,7,3,28,0,124,123,2815,3113,127,4/25,4/25,24.51,6.63,22.1,2,0,0
Devon Conway,168,162,33,5550,105*,43.02,4304,128.94,2,44,586,131,75,7,168,8,103,141,3,1/10,1/10,47.00,8.21,34.3,0,0,0
Jean0Paul Duminy
Shimron Hetmyer,190,173,33,3696,100,26.40,2777,133.09,1,18,255,195,92,0,190,0,0,0,0,0,0,0,0,0,0,0,0
Farhaan Behardien,204,172,68,3719,72*,35.75,2836,131.13,0,14,224,138,85,0,204,12,115,176,5,2/15,2/15,35.20,9.18,23.0,0,0,0
Brad Hodge,277,261,60,7406,106,36.84,5641,131.28,2,48,709,248,102,0,277,86,1116,1451,65,4/13,4/13,22.32,7.80,17.1,3,0,0
Eklavya Dwivedi,47,39,12,923,89,34.18,743,124.22,0,4,95,27,26,9,47,0,0,0,0,0,0,0,0,0,0,0,0
Sarfaraz Naushad Khan
Shane Watson,343,335,34,8821,124*,29.30,6378,138.30,6,53,785,467,101,0,343,231,4429,5838,216,4/15,4/15,27.02,7.90,20.5,3,0,0
Kevin Pietersen,200,193,25,5695,115*,33.89,4160,136.89,3,35,495,220,66,0,200,30,396,534,17,3/33,3/33,31.41,8.09,23.2,0,0,0
Dawid Malan
Mujeeb Zadran
Matt Henry,123,66,27,514,44,13.17,330,155.75,0,0,28,35,49,0,123,119,2512,3523,144,4/24,4/24,24.46,8.41,17.4,3,0,0
Nitish Rana,182,171,18,4478,107,29.26,3302,135.61,1,29,393,230,48,0,182,69,818,970,47,4/17,4/17,20.63,7.11,17.4,1,0,0
Colin Ingram,333,324,46,8188,127*,29.45,5931,138.05,4,49,734,364,112,0,333,71,973,1284,39,4/32,4/32,32.92,7.91,24.9,1,0,0
Ashish Reddy,77,62,15,637,37,13.55,502,126.89,0,0,36,28,22,0,77,54,940,1255,57,4/22,4/22,22.01,8.01,16.4,1,0,0
Michael Hussey,161,149,27,4569,116*,37.45,3658,124.90,1,35,423,121,77,0,161,1,6,5,0,0,0,0,5.00,0,0,0,0
Sudeep Tyagi,26,5,3,5,3*,2.50,7,71.42,0,0,0,0,5,0,26,25,376,501,16,4/45,4/45,31.31,7.99,23.5,1,0,0
Ravi Bishnoi,106,28,12,113,22*,7.06,128,88.28,0,0,10,3,37,0,106,105,2406,2846,132,4/15,4/15,21.56,7.09,18.2,2,0,0
Akash Deep,41,13,6,76,17,10.85,52,146.15,0,0,6,4,10,0,41,41,873,1095,48,4/35,4/35,22.81,7.52,18.1,1,0,0
Prasanth Padmanabhan,49,37,19,316,43*,17.55,239,132.21,0,0,22,17,6,0,49,49,1051,1098,64,4/13,4/13,17.15,6.26,16.4,1,0,0
Sharad Lumba,21,16,1,240,36,16.00,228,105.26,0,0,8,14,8,0,21,0,0,0,0,0,0,0,0,0,0,0,0
Jos Buttler,389,366,57,10621,124,34.37,7345,144.60,6,75,942,455,230,38,389,0,0,0,0,0,0,0,0,0,0,0,0
Mohammad Shami
