Dushmantha Chameera
Laxmi Ratan Shukla
Manvinder Bisla
Yogesh Gowalkar
Bhuvneshwar Kumar
Anirudha Ashok Joshi
Anukul Roy
Anunay Singh
Shivam Mavi
Sayan Ghosh
Kuldeep Sen
Wayne Parnell
Baltej Dhanda
Thisara Perera
Rishabh Pant
Piyush Chawla
Rovman Powell
Manjot Kalra
Pardeep Sahu
Gautam Gambhir
Prashant Solanki
Ajantha Mendis
Mithun Manhas
Shreevats Goswami
Glenn Phillips
Unmukt Chand
Mitchell Starc
Yuzvendra Singh Chahal
Rajvardhan Hangargekar
Shubam Agrawal
Zaheer Khan
Joshua Philippe
Juan Theron
Maheesh Theekshana
Devon Conway
Jean-Paul Duminy
Shimron Hetmyer
Farhaan Behardien
Brad Hodge
Eklavya Dwivedi
Sarfaraz Naushad Khan
Shane Watson
Kevin Pietersen
Dawid Malan
Mujeeb Zadran
Matt Henry
Nitish Rana
Colin Ingram
Ashish Reddy
Michael Hussey
Sudeep Tyagi
Ravi Bishnoi
Akash Deep
Prasanth Padmanabhan
Sharad Lumba
Jos Buttler
Mohammad Shami
Cheteshwar Pujara
Philip Hughes
Karanveer Singh
Vijay Zol
Moeen Ali
Chetan Sakariya
Muttiah Muralitharan
Ambati Rayudu
Alzarri Joseph
Ripal Patel
Akshay Karnewar
Irfan Pathan
Rishi Dhawan
Aditya Garhwal
Kagiso Rabada
George Bailey
Hardik Pandya
Ruturaj Gaikwad
Sheldon Cottrell
Jacob Oram
Agnivesh Ayachi
Priyam Garg
Dhawal Kulkarni
Adam Milne
Kane Williamson
Vicky Ostwal
Bipul Sharma
Kyle Abbott
Kane Richardson
Subramaniam Badrinath
Yash Dhull
Rahul Tewatia
Pragyan Ojha
Krismar Santokie
Colin De Grandhomme
Anuj Rawat
Nathu Singh
Aneeshwar Gautam
Tom Banton
Mayank Agarwal
Aiden Markram
Tom Curran
Harshal Patel
Noor Ahmad
N. Tilak Varma
Sam Curran
Kishore Pramod Kamath
Jason Behrendorff
