Harry Brook,124,117,26,2988,105,32.83,2003,149.17,3,11,251,128,76,0,124,2,12,26,1,1/13,1/13,26.00,13.00,12.0,0,0,0
Travis Head,107,103,13,2494,101,27.71,1859,134.15,1,10,192,105,36,0,107,44,445,627,22,3/16,3/16,28.50,8.45,20.2,0,0,0
Rilee Rossouw,312,301,43,7933,121,30.74,5477,144.84,6,48,766,322,127,0,312,6,34,32,3,1/3,1/3,10.66,5.64,11.3,0,0,0
Steve Smith,243,214,45,5282,125,31.25,4135,127.73,3,24,459,135,13,0,243,52,824,1056,54,4/13,4/13,19.55,7.68,15.2,2,0,0
Gerald Coetzee,42,27,4,193,37,8.39,160,120.62,0,0,11,12,12,0,42,40,848,1143,60,4/19,4/19,19.05,8.08,14.1,4,0,0
Pat Cummins,128,72,31,693,66,16.90,501,138.32,0,3,41,41,31,0,128,128,2868,3815,143,4/16,4/16,26.67,7.98,20.0,3,0,0
Harshal Patel,178,100,26,1235,82,16.68,855,144.44,0,4,123,67,39,0,178,173,3630,4991,209,5/27,5/27,23.88,8.24,17.3,3,1,0
Shardul Thakur,150,55,18,416,68,11.24,319,130.40,0,1,32,17,46,0,150,146,3003,4387,169,4/27,4/27,25.95,8.76,17.7,2,0,0
Chris Woakes,149,89,45,966,57,21.95,723,133.60,0,2,77,34,55,0,149,146,2923,4005,160,4/21,4/21,25.03,8.22,18.2,1,0,0
Josh Inglis,105,99,15,2623,118,31.22,1762,148.86,3,16,268,90,71,16,105,0,0,0,0,0,0,0,0,0,0,0,0
Lockie Ferguson,136,44,23,252,30,12.00,211,119.43,0,0,14,14,30,0,136,135,2835,3742,151,5/21,5/21,24.78,7.91,18.7,5,1,0
Josh Hazlewood,96,19,15,64,13,16.00,68,94.11,0,0,6,1,14,0,96,96,2160,2735,127,4/12,4/12,21.53,7.59,17.0,5,0,0
Mitchell Starc,121,41,20,206,29,9.80,217,94.93,0,0,15,2,37,0,121,120,2673,3322,170,4/15,4/15,19.54,7.45,15.7,2,0,0
Umesh Yadav,186,68,39,321,26,11.06,261,122.98,0,0,23,18,51,0,186,184,3848,5311,193,5/18,5/18,27.51,8.28,19.9,4,2,0
Mujeeb Rahman,229,73,35,278,27,7.31,281,98.93,0,0,22,10,45,0,229,229,5182,5803,244,5/15,5/15,23.78,6.71,21.2,3,2,0
Adil Rashid,277,117,44,822,36,11.26,784,104.84,0,0,61,14,75,0,277,269,5740,7150,311,4/2,4/2,22.99,7.47,18.4,8,0,0
Rassie Van Der Dussen,168,159,28,4680,112,35.72,3627,129.03,3,30,335,200,53,0,168,6,54,55,3,2/15,2/15,18.33,6.11,18.0,0,0,0
James Vince,352,341,37,9643,129,31.72,7094,135.93,5,59,1069,252,187,0,352,7,78,87,3,1/5,1/5,29.00,6.69,26.0,0,0,0
Sean Abbott,151,86,22,813,110,12.70,665,122.25,1,0,45,38,84,0,151,149,2843,4077,191,5/16,5/16,21.34,8.60,14.8,6,1,0
Jamie Overton,109,69,19,987,83,19.74,567,174.07,0,1,73,63,59,0,109,80,1358,2104,70,5/47,5/47,30.05,9.29,19.4,2,1,0
David Willey,270,203,45,3720,118,23.54,2749,135.32,2,14,288,183,115,0,270,247,4687,6163,270,4/7,4/7,22.82,7.88,17.3,4,0,0
Ben Duckett,185,178,28,4511,96,30.07,3282,137.44,0,27,529,84,88,2,185,0,0,0,0,0,0,0,0,0,0,0,0
Mustafizur Rahman,224,63,37,163,21,6.26,213,76.52,0,0,8,10,43,0,224,222,4859,5938,276,5/22,5/22,21.51,7.33,17.6,5,3,0
Wanindu Hasaranga,157,121,27,1760,77,18.72,1230,143.08,0,7,175,54,70,0,157,151,3231,3670,216,6/9,6/9,16.99,6.81,14.9,5,3,0
Phil Salt,213,207,15,4870,88,25.36,3221,151.19,0,32,537,171,102,13,213,0,0,0,0,0,0,0,0,0,0,0,0
Colin Munro,403,384,49,10367,114,30.94,7294,142.13,5,61,861,527,120,0,403,66,662,1017,31,4/15,4/15,32.80,9.21,21.3,1,0,0
Sherfane Rutherford,107,93,20,1753,78,24.01,1324,132.40,0,9,110,114,40,0,107,20,233,334,9,3/19,3/19,37.11,8.60,25.8,0,0,0
Tom Curran,194,121,41,1725,67,21.56,1211,142.44,0,5,154,63,58,0,194,173,3535,5185,205,4/22,4/22,25.29,8.80,17.2,3,0,0
Jason Holder,232,171,45,1973,69,15.65,1572,125.50,0,2,128,112,111,0,232,226,4734,6403,227,5/27,5/27,28.20,8.11,20.8,5,1,0
